name,dex_num,date,shiny,costume,event,form,location,Lat,type_1,type_2,box,size,evolved,traded,hatched,research,Shadow,remote raid,Has IRL loc
mawile,303,01/19/2018,TRUE,,n/a,,"San Francisco, CA","37.7749295,-122.4194155",Steel,Fairy,pogo,,FALSE,FALSE,FALSE,,,,
pikachu,25,01/20/2018,TRUE,,Community Day,,"San Francisco, CA","37.7749295,-122.4194155",Electric,,pogo,,FALSE,FALSE,FALSE,,,,
raichu,26,01/20/2018,TRUE,,Community Day,,"San Francisco, CA","37.7749295,-122.4194155",Electric,,pogo,,TRUE,FALSE,FALSE,,,,
pikachu,25,01/20/2018,TRUE,,Community Day,,"San Francisco, CA","37.7749295,-122.4194155",Electric,,pogo,,FALSE,FALSE,FALSE,,,,
pikachu,25,01/20/2018,TRUE,,Community Day,,"San Francisco, CA","37.7749295,-122.4194155",Electric,,pogo,,FALSE,FALSE,FALSE,,,,
raichu,26,01/20/2018,TRUE,,Community Day,,"San Francisco, CA","37.7749295,-122.4194155",Electric,,pogo,,FALSE,FALSE,FALSE,,,,
pikachu,25,01/20/2018,TRUE,,Community Day,,"San Francisco, CA","37.7749295,-122.4194155",Electric,,pogo,,FALSE,FALSE,FALSE,,,,
pikachu,25,01/20/2018,TRUE,,Community Day,,"San Francisco, CA","37.7749295,-122.4194155",Electric,,pogo,,FALSE,FALSE,FALSE,,,,
glalie,362,02/11/2018,TRUE,,n/a,,,,Ice,,pogo,,TRUE,FALSE,FALSE,,,,
luvdisc,370,02/13/2018,TRUE,,n/a,,,,Water,,pogo,,FALSE,FALSE,FALSE,,,,
luvdisc,370,02/13/2018,TRUE,,n/a,,,,Water,,pogo,,FALSE,FALSE,FALSE,,,,
poochyena,261,02/16/2018,TRUE,,n/a,,,,Dark,,pogo,,FALSE,FALSE,FALSE,,,,
dragonite,149,02/23/2018,TRUE,,n/a,Pseudo Legendary,,,Dragon,Flying,pogo,,TRUE,FALSE,FALSE,,,,
dragonair,148,02/23/2018,TRUE,,n/a,Pseudo Legendary,,,Dragon,,pogo,,TRUE,FALSE,FALSE,,,,
dragonite,149,02/23/2018,TRUE,,n/a,Pseudo Legendary,,,Dragon,Flying,pogo,,TRUE,FALSE,FALSE,,,,
dratini,147,02/23/2018,TRUE,,n/a,Pseudo Legendary,,,Dragon,,pogo,,FALSE,FALSE,FALSE,,,,
aggron,306,03/08/2018,TRUE,,n/a,,,,Steel,Rock,pogo,,TRUE,FALSE,FALSE,,,,
lugia,249,03/17/2018,TRUE,,n/a,Legendary,,,Psychic,Flying,pogo,,FALSE,FALSE,FALSE,,,,
lugia,249,03/17/2018,TRUE,,n/a,Legendary,,,Psychic,Flying,pogo,,FALSE,FALSE,FALSE,,,,
lugia,249,03/17/2018,TRUE,,n/a,Legendary,,,Psychic,Flying,pogo,,FALSE,FALSE,FALSE,,,,
froslass,478,03/21/2018,TRUE,,n/a,,,,Ice,Ghost,pogo,,TRUE,FALSE,FALSE,,,,
venusaur,3,03/24/2018,TRUE,,Community Day,Starter,,,Grass,Poison,pogo,,TRUE,FALSE,FALSE,,,,
bulbasaur,1,03/25/2018,TRUE,,Community Day,Starter,,,Grass,Poison,pogo,,FALSE,FALSE,FALSE,,,,
altaria,334,03/25/2018,TRUE,,n/a,,,,Dragon,Flying,pogo,,TRUE,FALSE,FALSE,,,,
bulbasaur,1,03/25/2018,TRUE,,Community Day,Starter,,,Grass,Poison,pogo,,FALSE,FALSE,FALSE,,,,
venusaur,3,03/25/2018,TRUE,,Community Day,Starter,,,Grass,Poison,pogo,,TRUE,FALSE,FALSE,,,,
venusaur,3,03/25/2018,TRUE,,Community Day,Starter,,,Grass,Poison,pogo,,TRUE,FALSE,FALSE,,,,
venusaur,3,03/25/2018,TRUE,,Community Day,Starter,,,Grass,Poison,pogo,,TRUE,FALSE,FALSE,,,,
bulbasaur,1,03/25/2018,TRUE,,Community Day,Starter,,,Grass,Poison,pogo,,FALSE,FALSE,FALSE,,,,
venusaur,3,03/25/2018,TRUE,,Community Day,Starter,,,Grass,Poison,pogo,,TRUE,FALSE,FALSE,,,,
ivysaur,2,03/25/2018,TRUE,,Community Day,Starter,,,Grass,Poison,pogo,,TRUE,FALSE,FALSE,,,,
bulbasaur,1,03/25/2018,TRUE,,Community Day,Starter,,,Grass,Poison,pogo,,FALSE,FALSE,FALSE,,,,
mareep,179,04/15/2018,TRUE,,Community Day,,,,Electric,,pogo,,FALSE,FALSE,FALSE,,,,
mareep,179,04/15/2018,TRUE,,Community Day,,"New York, NY","40.7127753,-74.0059728",Electric,,pogo,,FALSE,FALSE,FALSE,,,,
mareep,179,04/15/2018,TRUE,,Community Day,,"New York, NY","40.7127753,-74.0059728",Electric,,pogo,,FALSE,FALSE,FALSE,,,,
flaaffy,180,04/15/2018,TRUE,,Community Day,,"New York, NY","40.7127753,-74.0059728",Electric,,pogo,,TRUE,FALSE,FALSE,,,,
ampharos,181,04/15/2018,TRUE,,Community Day,,"New York, NY","40.7127753,-74.0059728",Electric,,pogo,,TRUE,FALSE,FALSE,,,,
zapdos,145,07/21/2018,TRUE,,n/a,Sub-Legendary,"Norwalk, CT","41.11774399999999,-73.4081575",Electric,Flying,pogo,,FALSE,FALSE,FALSE,,,,
jolteon,135,08/11/2018,TRUE,,Community Day,Eeveelution,"Norwalk, CT","41.11774399999999,-73.4081575",Electric,,pogo,,TRUE,FALSE,FALSE,,,,
flareon,136,08/11/2018,TRUE,,Community Day,Eeveelution,"Norwalk, CT","41.11774399999999,-73.4081575",Fire,,pogo,,TRUE,FALSE,FALSE,,,,
flareon,136,08/11/2018,TRUE,,Community Day,Eeveelution,"Norwalk, CT","41.11774399999999,-73.4081575",Fire,,pogo,,TRUE,FALSE,FALSE,,,,
metang,375,10/21/2018,TRUE,,Community Day,Pseudo Legendary,"Arlington, MA","42.4153925,-71.1564729",Steel,Psychic,pogo,,TRUE,FALSE,FALSE,,,,
metagross,376,10/21/2018,TRUE,,Community Day,Pseudo Legendary,"Brookline, MA","42.33176419999999,-71.1211635",Steel,Psychic,pogo,,TRUE,FALSE,FALSE,,,,
metagross,376,10/21/2018,TRUE,,Community Day,Pseudo Legendary,"Brookline, MA","42.33176419999999,-71.1211635",Steel,Psychic,pogo,,TRUE,FALSE,FALSE,,,,
drifloon,425,10/27/2018,TRUE,,Halloween,,"Greenfield Center, NY","43.128407,-73.8465114",Ghost,Flying,pogo,,FALSE,FALSE,FALSE,,,,
drifblim,426,10/27/2018,TRUE,,Halloween,,"Wilton, CT","41.1953739,-73.4378988",Ghost,Flying,pogo,,TRUE,FALSE,FALSE,,,,
pinsir,127,11/04/2018,TRUE,,n/a,,"Norwalk, CT","41.11774399999999,-73.4081575",Bug,,pogo,,FALSE,FALSE,FALSE,,,,
typhlosion,157,11/10/2018,TRUE,,Community Day,Starter,"Norwalk, CT","41.11774399999999,-73.4081575",Fire,,pogo,,TRUE,FALSE,FALSE,,,,
cyndaquil,155,11/10/2018,TRUE,,Community Day,Starter,"Norwalk, CT","41.11774399999999,-73.4081575",Fire,,pogo,,TRUE,FALSE,FALSE,,,,
quilava,156,11/10/2018,TRUE,,Community Day,Starter,"Norwalk, CT","41.11774399999999,-73.4081575",Fire,,pogo,,TRUE,FALSE,FALSE,,,,
kyogre,382,01/28/2019,TRUE,,n/a,Legendary,"Norwalk, CT","41.11774399999999,-73.4081575",Water,,pogo,,FALSE,FALSE,FALSE,,,,
kyogre,382,01/28/2019,TRUE,,n/a,Legendary,"Norwalk, CT","41.11774399999999,-73.4081575",Water,,pogo,,FALSE,FALSE,FALSE,,,,
feebas,349,01/19/2019,TRUE,,Research Day,,"Norwalk, CT","41.11774399999999,-73.4081575",Water,,pogo,,FALSE,FALSE,FALSE,,,,
feebas,349,01/19/2019,TRUE,,Research Day,,"Norwalk, CT","41.11774399999999,-73.4081575",Water,,pogo,,FALSE,FALSE,FALSE,,,,
feebas,349,01/19/2019,TRUE,,Research Day,,"Norwalk, CT","41.11774399999999,-73.4081575",Water,,pogo,,FALSE,TRUE,FALSE,,,,
milotic,350,01/19/2019,TRUE,,Research Day,,"Norwalk, CT","41.11774399999999,-73.4081575",Water,,pogo,,TRUE,FALSE,FALSE,,,,
pineco,204,02/04/2019,TRUE,,n/a,,"Norwalk, CT","41.11774399999999,-73.4081575",Bug,,pogo,,FALSE,FALSE,FALSE,,,,
swinub,220,02/16/2019,TRUE,,Community Day,,"Orlando, FL","28.5383832,-81.3789269",Ice,Ground,pogo,,FALSE,FALSE,FALSE,,,,
swinub,220,02/16/2019,TRUE,,Community Day,,"Orlando, FL","28.5383832,-81.3789269",Ice,Ground,pogo,,FALSE,FALSE,FALSE,,,,
mamoswine,473,02/16/2019,TRUE,,Community Day,,"Orlando, FL","28.5383832,-81.3789269",Ice,Ground,pogo,,TRUE,FALSE,FALSE,,,,
mamoswine,473,02/16/2019,TRUE,,Community Day,,"Orlando, FL","28.5383832,-81.3789269",Ice,Ground,pogo,,TRUE,FALSE,FALSE,,,,
mamoswine,473,02/16/2019,TRUE,,Community Day,,"Orlando, FL","28.5383832,-81.3789269",Ice,Ground,pogo,,TRUE,FALSE,FALSE,,,,
mamoswine,473,02/16/2019,TRUE,,Community Day,,"Orlando, FL","28.5383832,-81.3789269",Ice,Ground,pogo,,TRUE,FALSE,FALSE,,,,
piloswine,221,02/16/2019,TRUE,,Community Day,,"Orlando, FL","28.5383832,-81.3789269",Ice,Ground,pogo,,TRUE,FALSE,FALSE,,,,
piloswine,221,02/16/2019,TRUE,,Community Day,,"Orlando, FL","28.5383832,-81.3789269",Ice,Ground,pogo,,TRUE,FALSE,FALSE,,,,
piloswine,221,02/16/2019,TRUE,,Community Day,,"Orlando, FL","28.5383832,-81.3789269",Ice,Ground,pogo,,TRUE,FALSE,FALSE,,,,
meltan,808,02/17/2019,TRUE,,n/a,Mythical,"Orlando, FL","28.5383832,-81.3789269",Steel,,pogo,,FALSE,FALSE,FALSE,,,,
clamperl,366,02/23/2019,TRUE,,Research Day,,"Norwalk, CT","41.11774399999999,-73.4081575",Water,,pogo,,FALSE,FALSE,FALSE,,,,
clamperl,366,02/23/2019,TRUE,,Research Day,,"Norwalk, CT","41.11774399999999,-73.4081575",Water,,pogo,,FALSE,FALSE,FALSE,,,,
gorebyss,368,02/23/2019,TRUE,,Research Day,,"Norwalk, CT","41.11774399999999,-73.4081575",Water,,pogo,,TRUE,FALSE,FALSE,,,,
huntail,367,02/23/2019,TRUE,,Research Day,,"Norwalk, CT","41.11774399999999,-73.4081575",Water,,pogo,,TRUE,FALSE,FALSE,,,,
togekiss,468,03/13/2019,TRUE,,n/a,,"Saint Paul, MN","44.9537029,-93.0899578",Fairy,Flying,pogo,,TRUE,FALSE,TRUE,,,,
aron,304,03/14/2019,TRUE,,n/a,,"Norwalk, CT","41.11774399999999,-73.4081575",Steel,Rock,pogo,,TRUE,FALSE,FALSE,,,,
azumarill,184,03/15/2019,TRUE,,n/a,,"Norwalk, CT","41.11774399999999,-73.4081575",Water,Fairy,pogo,,TRUE,FALSE,TRUE,,,,
ho-oh,250,03/23/2019,TRUE,,n/a,Legendary,"Norwalk, CT","41.11774399999999,-73.4081575",Fire,Flying,pogo,,FALSE,TRUE,FALSE,,,,
treecko,252,03/23/2019,TRUE,,Community Day,Starter,"Norwalk, CT","41.11774399999999,-73.4081575",Grass,,pogo,,FALSE,FALSE,FALSE,,,,
grovyle,253,03/23/2019,TRUE,,Community Day,Starter,"Norwalk, CT","41.11774399999999,-73.4081575",Grass,,pogo,,TRUE,FALSE,FALSE,,,,
sceptile,254,03/23/2019,TRUE,,Community Day,Starter,"Norwalk, CT","41.11774399999999,-73.4081575",Grass,,pogo,,TRUE,FALSE,FALSE,,,,
wynaut,360,03/24/2019,TRUE,,n/a,Baby,"Norwalk, CT","41.11774399999999,-73.4081575",Psychic,,pogo,,FALSE,FALSE,TRUE,,,,
scizor,212,04/06/2019,TRUE,,n/a,,"San Diego, CA","32.715738,-117.1610838",Bug,Steel,,,TRUE,FALSE,FALSE,,,,
salamence,373,04/13/2019,TRUE,,Community Day,Pseudo Legendary,"Norwalk, CT","41.11774399999999,-73.4081575",Dragon,Flying,,,TRUE,FALSE,FALSE,,,,
salamence,373,04/13/2019,TRUE,,Community Day,Pseudo Legendary,"Norwalk, CT","41.11774399999999,-73.4081575",Dragon,Flying,,,TRUE,FALSE,FALSE,,,,
shelgon,372,04/13/2019,TRUE,,Community Day,Pseudo Legendary,"Norwalk, CT","41.11774399999999,-73.4081575",Dragon,,,,TRUE,FALSE,FALSE,,,,
bagon,371,04/13/2019,TRUE,,Community Day,Pseudo Legendary,"Norwalk, CT","41.11774399999999,-73.4081575",Dragon,,,,FALSE,FALSE,FALSE,,,,
cradily,346,06/05/2019,TRUE,,n/a,Fossil,"Norwalk, CT","41.11774399999999,-73.4081575",Rock,Grass,,,TRUE,FALSE,FALSE,,,,
cresselia,488,06/05/2019,TRUE,,n/a,Sub-Legendary,"Norwalk, CT","41.11774399999999,-73.4081575",Psychic,,,,FALSE,FALSE,FALSE,,,,
vigoroth,288,06/08/2019,TRUE,,Community Day,,"Norwalk, CT","41.11774399999999,-73.4081575",Normal,,,,TRUE,FALSE,FALSE,,,,
slaking,289,06/08/2019,TRUE,,Community Day,,"Norwalk, CT","41.11774399999999,-73.4081575",Normal,,,,TRUE,FALSE,FALSE,,,,
slaking,289,06/08/2019,TRUE,,Community Day,,"Norwalk, CT","41.11774399999999,-73.4081575",Normal,,,,TRUE,FALSE,FALSE,,,,
aerodactyl,142,06/07/2019,TRUE,,n/a,Fossil,"Norwalk, CT","41.11774399999999,-73.4081575",Rock,Flying,,,FALSE,FALSE,FALSE,,,,
ampharos,181,06/10/2019,TRUE,,n/a,,"Bunkyo, Tokyo, Japan","35.7078686,139.7524369",Electric,,,,TRUE,TRUE,FALSE,,,,
azurill,298,06/24/2019,TRUE,,n/a,Baby,"Kerava, 18, Finland","60.40519860000001,25.0958066",Normal,Fairy,,,FALSE,FALSE,TRUE,,,,
raikou,243,06/29/2019,TRUE,,Raid Day,Sub-Legendary,"Norwalk, CT","41.11774399999999,-73.4081575",Electric,,,,FALSE,FALSE,FALSE,,,,
raikou,243,06/29/2019,TRUE,,Raid Day,Sub-Legendary,"Norwalk, CT","41.11774399999999,-73.4081575",Electric,,,,FALSE,FALSE,FALSE,,,,
glaceon,471,07/01/2019,TRUE,,n/a,Eeveelution,"Norwalk, CT","41.11774399999999,-73.4081575",Ice,,,,TRUE,FALSE,FALSE,,,,
geodude (alolan),74.1,07/01/2019,TRUE,,n/a,Alolan Form,"Norwalk, CT","41.11774399999999,-73.4081575",Rock,Electric,,,FALSE,FALSE,FALSE,,,,
rattata (alolan),19.1,07/02/2019,TRUE,,n/a,Alolan Form,"Greenwich, CT","41.0262417,-73.6281964",Dark,Normal,,,FALSE,FALSE,FALSE,,,,
nidoran (male),32,07/04/2019,TRUE,,n/a,,"New Canaan, CT","41.146763,-73.4948445",Poison,,,,FALSE,FALSE,FALSE,,,,
grumpig,326,07/06/2019,TRUE,,n/a,,"Norwalk, CT","41.11774399999999,-73.4081575",Psychic,,,,TRUE,FALSE,FALSE,,,,
entei,244,07/14/2019,TRUE,,Raid Day,Sub-Legendary,"Norwalk, CT","41.11774399999999,-73.4081575",Fire,,,,FALSE,FALSE,FALSE,,,,
swampert,260,07/21/2019,TRUE,,Community Day,Starter,"New Canaan, CT","41.146763,-73.4948445",Water,Ground,,,TRUE,FALSE,FALSE,,,,
mudkip,258,07/21/2019,TRUE,,Community Day,Starter,"New Canaan, CT","41.146763,-73.4948445",Water,,,,FALSE,FALSE,FALSE,,,,
koffing,109,07/28/2019,TRUE,,n/a,,"Boston, MA","42.3600825,-71.0588801",Poison,,,,FALSE,FALSE,FALSE,,,,
gallade,475,08/03/2019,TRUE,,Community Day,,"Norwalk, CT","41.11774399999999,-73.4081575",Psychic,Fighting,,,TRUE,FALSE,FALSE,,,,
kirlia,281,08/03/2019,TRUE,,Community Day,,"Norwalk, CT","41.11774399999999,-73.4081575",Psychic,Fairy,,,TRUE,FALSE,FALSE,,,,
kirlia,281,08/03/2019,TRUE,,Community Day,,"Norwalk, CT","41.11774399999999,-73.4081575",Psychic,Fairy,,,TRUE,FALSE,FALSE,,,,
gardevoir,282,08/03/2019,TRUE,,Community Day,,"Wilton, CT","41.1953739,-73.4378988",Psychic,Fairy,,,TRUE,FALSE,FALSE,,,,
sneasel,215,08/07/2019,TRUE,,n/a,,"Norwalk, CT","41.11774399999999,-73.4081575",Dark,Ice,,,FALSE,FALSE,FALSE,,,,
rayquaza,384,08/07/2019,TRUE,,n/a,Legendary,"Norwalk, CT","41.11774399999999,-73.4081575",Dragon,Flying,,,FALSE,FALSE,FALSE,,,,
rayquaza,384,08/07/2019,TRUE,,n/a,Legendary,"Norwalk, CT","41.11774399999999,-73.4081575",Dragon,Flying,,,FALSE,FALSE,FALSE,,,,
drifloon,425,08/09/2019,TRUE,,n/a,,"Norwalk, CT","41.11774399999999,-73.4081575",Ghost,Flying,,,FALSE,FALSE,FALSE,,,,
sandshrew (alolan),27.1,08/11/2019,TRUE,,n/a,Alolan Form,"Berlin, Germany","52.52000659999999,13.404954",Ice,Steel,,,FALSE,FALSE,TRUE,,,,
azurill,298,08/12/2019,TRUE,,n/a,Baby,"Rancho Cucamonga, CA","34.10639889999999,-117.5931084",Normal,Fairy,,,FALSE,FALSE,TRUE,,,,
suicune,245,08/17/2019,TRUE,,Raid Day,Sub-Legendary,"Norwalk, CT","41.11774399999999,-73.4081575",Water,,,,FALSE,FALSE,FALSE,,,,
suicune,245,08/17/2019,TRUE,,Raid Day,Sub-Legendary,"Norwalk, CT","41.11774399999999,-73.4081575",Water,,,,FALSE,FALSE,FALSE,,,,
spinda,327,08/27/2019,TRUE,,n/a,,"Clinton, NY","43.0484029,-75.3785034",Normal,,,,FALSE,FALSE,FALSE,y,,,
Gyarados,130,08/30/2019,TRUE,,n/a,,"Clinton, NY","43.0484029,-75.3785034",Water,Flying,,,TRUE,FALSE,FALSE,,,,
Bronzong,437,09/11/2019,TRUE,,n/a,,"Clinton, NY","43.0484029,-75.3785034",Steel,Psychic,,,TRUE,FALSE,FALSE,,,,
Furret,162,09/12/2019,TRUE,,n/a,,"Clinton, NY","43.0484029,-75.3785034",Normal,,,,TRUE,FALSE,FALSE,,,,
Bronzor,436,09/13/2019,TRUE,,n/a,,"Clinton, NY","43.0484029,-75.3785034",Steel,Psychic,,,FALSE,FALSE,FALSE,,,,
Torterra,389,09/15/2019,TRUE,,Community Day,Starter,"Clinton, NY","43.0484029,-75.3785034",Grass,Ground,,,TRUE,FALSE,FALSE,,,,
Turtwig,387,09/15/2019,TRUE,,Community Day,Starter,"Clinton, NY","43.0484029,-75.3785034",Grass,,,,FALSE,FALSE,FALSE,,,,
Torterra,389,09/15/2019,TRUE,,Community Day,Starter,"Clinton, NY","43.0484029,-75.3785034",Grass,Ground,,,TRUE,FALSE,FALSE,,,,
Torterra,389,09/15/2019,TRUE,,Community Day,Starter,"Clinton, NY","43.0484029,-75.3785034",Grass,Ground,,,TRUE,FALSE,FALSE,,,,
Smoochum,238,09/15/2019,TRUE,,n/a,Baby,"Illertissen, Bavaria, Germany","48.2253313,10.1012701",Ice,Psychic,,,FALSE,FALSE,TRUE,,,,
Grotle,388,09/15/2019,TRUE,,Community Day,Starter,"Clinton, NY","43.0484029,-75.3785034",Grass,,,,TRUE,FALSE,FALSE,,,,
Turtwig,387,09/15/2019,TRUE,,Community Day,Starter,"Clinton, NY","43.0484029,-75.3785034",Grass,,,,FALSE,FALSE,FALSE,,,,
spoink,325,09/16/2019,TRUE,,n/a,,"Clinton, NY","43.0484029,-75.3785034",Psychic,,,,FALSE,FALSE,FALSE,,,,
barboach,339,09/18/2019,TRUE,,n/a,,"Clinton, NY","43.0484029,-75.3785034",Water,Ground,,,FALSE,FALSE,FALSE,,,,
Farfetch'd,83,09/18/2019,TRUE,,n/a,,"Bellingham, WA","48.7519112,-122.4786854",Normal,Flying,,,FALSE,FALSE,TRUE,,,,
tauros,128,09/19/2019,TRUE,,n/a,,"Illertissen, Bavaria, Germany","48.2253313,10.1012701",Normal,,,,FALSE,FALSE,TRUE,,,,
muk (alolan),89.1,09/20/2019,TRUE,,n/a,Alolan Form,"Lawndale, CA","33.887237,-118.3525744",Poison,Dark,,,TRUE,FALSE,TRUE,,,,
gligar,207,09/21/2019,TRUE,,n/a,,"Clinton, NY","43.0484029,-75.3785034",Ground,Flying,,,FALSE,FALSE,FALSE,,,,
yanma,193,09/21/2019,TRUE,,n/a,,"Clinton, NY","43.0484029,-75.3785034",Bug,Flying,,,FALSE,FALSE,FALSE,,,,
tauros,128,09/22/2019,TRUE,,n/a,,"Berlin, Germany","52.52000659999999,13.404954",Normal,,,,FALSE,FALSE,TRUE,,,,
bronzong,437,09/26/2019,TRUE,,n/a,,"Rome, NY","43.2128473,-75.4557303",Steel,Psychic,,,TRUE,FALSE,FALSE,,,,
seviper,336,09/30/2019,TRUE,,n/a,,"Clinton, NY","43.0484029,-75.3785034",Poison,,,,FALSE,FALSE,FALSE,,,,
oddish,43,10/03/2019,TRUE,,n/a,,"Clinton, NY","43.0484029,-75.3785034",Grass,Poison,,,FALSE,FALSE,FALSE,,,,
gloom,44,10/03/2019,TRUE,,n/a,,"Clinton, NY","43.0484029,-75.3785034",Grass,Poison,,,TRUE,FALSE,FALSE,,,,
lopunny,428,10/04/2019,TRUE,,n/a,,"Clinton, NY","43.0484029,-75.3785034",Normal,,,,TRUE,FALSE,FALSE,,,,
pikachu,25,10/07/2019,TRUE,,n/a,,"Clinton, NY","43.0484029,-75.3785034",Electric,,,,FALSE,FALSE,FALSE,,,,
cloyster,91,10/07/2019,TRUE,,n/a,,"Clinton, NY","43.0484029,-75.3785034",Water,Ice,,,TRUE,FALSE,FALSE,,,,
buneary,427,10/08/2019,TRUE,,n/a,,"Clinton, NY","43.0484029,-75.3785034",Normal,,,,FALSE,FALSE,FALSE,,,,
vibrava,329,10/12/2019,TRUE,,Community Day,,"Clinton, NY","43.0484029,-75.3785034",Ground,Dragon,,,TRUE,FALSE,FALSE,,,,
flygon,330,10/12/2019,TRUE,,Community Day,,"Clinton, NY","43.0484029,-75.3785034",Ground,Dragon,,,TRUE,FALSE,FALSE,,,,
trapinch,328,10/12/2019,TRUE,,Community Day,,"Clinton, NY","43.0484029,-75.3785034",Ground,,,,FALSE,FALSE,FALSE,,,,
watchog,505,10/12/2019,TRUE,,n/a,,"Clinton, NY","43.0484029,-75.3785034",Normal,,,,TRUE,FALSE,FALSE,,,,
trapinch,328,10/12/2019,TRUE,,Community Day,,"Clinton, NY","43.0484029,-75.3785034",Ground,,,,FALSE,FALSE,FALSE,,,,
houndoom,229,10/19/2019,TRUE,,n/a,,"Clinton, NY","43.0484029,-75.3785034",Dark,Fire,,,TRUE,FALSE,FALSE,,,,
yamask,562,10/20/2019,TRUE,,Halloween,,"Clinton, NY","43.0484029,-75.3785034",Ghost,,,,FALSE,FALSE,FALSE,y,,,
dusknoir,477,10/21/2019,TRUE,,Halloween,,"Clinton, NY","43.0484029,-75.3785034",Ghost,,,,TRUE,FALSE,FALSE,,,,
banette,354,10/22/2019,TRUE,,Halloween,,"Clinton, NY","43.0484029,-75.3785034",Ghost,,,,TRUE,FALSE,FALSE,,,,
weavile,461,10/24/2019,TRUE,,n/a,,"Clinton, NY","43.0484029,-75.3785034",Dark,Ice,,,TRUE,FALSE,FALSE,,,,
drifloon,425,10/24/2019,TRUE,,Halloween,,"Clinton, NY","43.0484029,-75.3785034",Ghost,Flying,,,FALSE,FALSE,FALSE,,,,
lairon,305,11/03/2019,TRUE,,n/a,,"Clinton, NY","43.0484029,-75.3785034",Steel,Rock,,,TRUE,FALSE,FALSE,,,,
mamoswine,473,11/04/2019,TRUE,,n/a,,"Clinton, NY","43.0484029,-75.3785034",Ice,Ground,,,TRUE,FALSE,FALSE,,,,
Mewtwo,150,11/04/2019,TRUE,,n/a,Legendary,"Wellington, New Zealand","-41.2923814,174.7787463",Psychic,,,,FALSE,TRUE,FALSE,,,,
golem,76,11/05/2019,TRUE,,n/a,,"Wellington, New Zealand","-41.2923814,174.7787463",Rock,Ground,,,TRUE,TRUE,FALSE,,,,
flareon,136,11/06/2019,TRUE,,n/a,Eeveelution,"Wellington, New Zealand","-41.2923814,174.7787463",Fire,,,,TRUE,TRUE,FALSE,,,,
skarmory,227,11/08/2019,TRUE,,n/a,,"Clinton, NY","43.0484029,-75.3785034",Steel,Flying,,,FALSE,FALSE,FALSE,,,,
persian,53,11/14/2019,TRUE,,n/a,,"Clinton, NY","43.0484029,-75.3785034",Normal,,,,TRUE,FALSE,FALSE,,,,
hariyama,297,11/15/2019,TRUE,,n/a,,"Clinton, NY","43.0484029,-75.3785034",Fighting,,,,TRUE,FALSE,FALSE,,,,
chimchar,390,11/16/2019,TRUE,,Community Day,Starter,"Clinton, NY","43.0484029,-75.3785034",Fire,,,,FALSE,FALSE,FALSE,,,,
infernape,392,11/16/2019,TRUE,,Community Day,Starter,"Clinton, NY","43.0484029,-75.3785034",Fire,Fighting,,,TRUE,FALSE,FALSE,,,,
infernape,392,11/16/2019,TRUE,,Community Day,Starter,"Clinton, NY","43.0484029,-75.3785034",Fire,Fighting,,,TRUE,FALSE,FALSE,,,,
chimchar,390,11/16/2019,TRUE,,Community Day,Starter,"Clinton, NY","43.0484029,-75.3785034",Fire,,,,FALSE,FALSE,FALSE,,,,
infernape,392,11/16/2019,TRUE,,Community Day,Starter,"Clinton, NY","43.0484029,-75.3785034",Fire,Fighting,,,TRUE,FALSE,FALSE,,,,
infernape,392,11/16/2019,TRUE,,Community Day,Starter,"Clinton, NY","43.0484029,-75.3785034",Fire,Fighting,,,TRUE,TRUE,FALSE,,,,
infernape,392,11/16/2019,TRUE,,Community Day,Starter,"Clinton, NY","43.0484029,-75.3785034",Fire,Fighting,,,TRUE,FALSE,FALSE,,,,
monferno,391,11/16/2019,TRUE,,Community Day,Starter,"Clinton, NY","43.0484029,-75.3785034",Fire,Fighting,,,TRUE,FALSE,FALSE,,,,
infernape,392,11/16/2019,TRUE,,Community Day,Starter,"Clinton, NY","43.0484029,-75.3785034",Fire,Fighting,,,TRUE,TRUE,FALSE,,,,
sunkern,191,11/18/2019,TRUE,,n/a,,"Bunkyo, Tokyo, Japan","35.7078686,139.7524369",Grass,,,,FALSE,TRUE,FALSE,,,,
tentacool,72,11/20/2019,TRUE,,n/a,,"Clinton, NY","43.0484029,-75.3785034",Water,Poison,,,FALSE,FALSE,FALSE,,,,
chimchar,390,11/21/2019,TRUE,,n/a,Starter,"Adachi, Tokyo, Japan","35.775017,139.8044129",Fire,,,,FALSE,TRUE,FALSE,,,,
altaria,334,11/23/2019,TRUE,,n/a,,"Southbury, CT","41.4793072,-73.2133715",Dragon,Flying,,,TRUE,FALSE,FALSE,,,,
kyogre,382,11/25/2019,TRUE,,n/a,Legendary,"New Canaan, CT","41.146763,-73.4948445",Water,,,,FALSE,FALSE,FALSE,,,,
nidoran (female),29,11/27/2019,TRUE,,n/a,,"Norwalk, CT","41.11774399999999,-73.4081575",Poison,,,,FALSE,FALSE,FALSE,,,,
arcanine,59,11/28/2019,TRUE,,n/a,,"Bucharest, Bucharest, Romania","44.4267674,26.1025384",Fire,,,,TRUE,TRUE,FALSE,,,,
honchkrow,430,11/28/2019,TRUE,,n/a,,"San Francisco, CA","37.7749295,-122.4194155",Dark,Flying,,,TRUE,TRUE,FALSE,,,,
magnezone,462,12/03/2019,TRUE,,n/a,,"Clinton, NY","43.0484029,-75.3785034",Electric,Steel,,,TRUE,FALSE,FALSE,,,,
